id,Provider.ID,Hospital.Name,Location,Measure.Response.OP_17,Measure.Response.SM_PART_NURSE,Measure.Response.OP_25,Measure.Response.SM_PART_STROKE,Measure.Response.SM_PART_CARD,Measure.Response.OP_12,Measure.Response.SM_PART_GEN_SURG,Measure.Response.ACS_REGISTRY,DRG.Definition,Provider.Name,Provider.Street.Address,Provider.City,Provider.State,Provider.Zip.Code,Hospital.Referral.Region.Description,Total.Discharges,Average.Covered.Charges,Average.Total.Payments,Average.Medicare.Payments
119,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,18,"$40,657.11 ","$14,528.88 ","$13,531.55 "
139,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,12,"$34,169.33 ","$9,154.25 ","$8,588.25 "
153,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,252 - OTHER VASCULAR PROCEDURES W MCC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,18,"$36,158.66 ","$16,464.00 ","$16,025.55 "
163,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,16,"$26,363.37 ","$7,140.93 ","$4,876.75 "
173,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,20,"$42,353.40 ","$11,132.75 ","$10,180.15 "
175,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,253 - OTHER VASCULAR PROCEDURES W CC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,16,"$38,693.75 ","$13,597.12 ","$13,048.81 "
217,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,29,"$73,909.31 ","$10,106.34 ","$9,172.82 "
221,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,28,"$59,532.75 ","$14,640.21 ","$13,848.53 "
227,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,14,"$75,832.35 ","$13,932.71 ","$12,881.57 "
237,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,12,"$35,999.75 ","$6,537.33 ","$5,095.08 "
251,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,23,"$174,576.73 ","$35,161.65 ","$34,282.69 "
259,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,253 - OTHER VASCULAR PROCEDURES W CC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,16,"$63,457.68 ","$13,546.81 ","$13,053.56 "
262,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,252 - OTHER VASCULAR PROCEDURES W MCC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,13,"$105,592.00 ","$17,962.69 ","$17,186.38 "
270,110005,NORTHSIDE HOSPITAL FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA 30041
(34.17882827200003, -84.13858242899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,GA - Atlanta,25,"$77,228.64 ","$14,434.04 ","$7,274.44 "
308,110006,ST MARY'S HOSPITAL,"1230 BAXTER STREET
ATHENS, GA 30606
(33.945938289000026, -83.40443372499999)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,GA - Atlanta,11,"$66,948.63 ","$18,229.09 ","$17,308.81 "
311,110006,ST MARY'S HOSPITAL,"1230 BAXTER STREET
ATHENS, GA 30606
(33.945938289000026, -83.40443372499999)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,GA - Atlanta,14,"$71,478.35 ","$16,077.00 ","$15,351.57 "
315,110006,ST MARY'S HOSPITAL,"1230 BAXTER STREET
ATHENS, GA 30606
(33.945938289000026, -83.40443372499999)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,GA - Atlanta,27,"$61,325.25 ","$12,094.18 ","$11,134.62 "
323,110006,ST MARY'S HOSPITAL,"1230 BAXTER STREET
ATHENS, GA 30606
(33.945938289000026, -83.40443372499999)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,GA - Atlanta,16,"$69,350.68 ","$13,160.93 ","$11,562.56 "
338,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,35,"$58,692.34 ","$18,806.28 ","$18,002.28 "
343,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,48,"$60,886.89 ","$21,538.22 ","$20,014.22 "
345,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,15,"$49,701.80 ","$13,189.26 ","$10,492.40 "
358,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,27,"$88,416.29 ","$25,727.66 ","$20,866.25 "
367,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,13,"$41,313.23 ","$15,234.46 ","$9,759.92 "
368,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,54,"$38,749.87 ","$11,212.44 ","$10,297.77 "
371,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,36,"$99,595.19 ","$37,455.55 ","$36,641.61 "
372,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,22,"$51,749.54 ","$15,186.22 ","$11,970.09 "
380,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,17,"$39,653.52 ","$14,993.35 ","$10,156.41 "
397,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,252 - OTHER VASCULAR PROCEDURES W MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,41,"$64,410.26 ","$22,283.68 ","$21,409.39 "
403,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,99,"$58,413.90 ","$15,641.26 ","$11,924.28 "
412,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 THIRD AVENUE
ALBANY, GA 31703
(31.40303099600004, -83.97599662499994)",Yes,Y,Yes,N,Y,Yes,N,NA,253 - OTHER VASCULAR PROCEDURES W CC,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,31,"$47,403.96 ","$16,608.58 ","$15,737.35 "
420,110008,NORTHSIDE HOSPITAL CHEROKEE,"201 HOSPITAL ROAD
CANTON, GA 30114
(34.24575740800003, -84.49213244899994)",No,Y,Yes,Y,Does not have a Cardiac Surgery Program,No,N,NA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NORTHSIDE HOSPITAL CHEROKEE,201 HOSPITAL ROAD,CANTON,GA,30114,GA - Atlanta,14,"$80,956.28 ","$27,468.14 ","$26,500.14 "
461,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,93,"$44,290.06 ","$14,211.13 ","$12,826.74 "
463,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,26,"$65,280.73 ","$23,893.15 ","$23,120.57 "
464,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,79,"$71,648.10 ","$24,093.55 ","$21,445.62 "
466,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,43,"$141,384.39 ","$54,725.30 ","$43,076.72 "
473,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,39,"$57,423.23 ","$20,824.43 ","$17,061.74 "
478,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,23,"$40,230.30 ","$12,375.56 ","$10,529.60 "
481,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,58,"$39,584.62 ","$13,001.82 ","$11,400.41 "
509,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,252 - OTHER VASCULAR PROCEDURES W MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,37,"$59,561.56 ","$25,568.91 ","$22,170.43 "
510,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,16,"$21,313.43 ","$14,440.56 ","$13,524.81 "
525,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,24,"$32,781.95 ","$19,024.50 ","$18,137.66 "
541,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,127,"$42,524.70 ","$15,150.11 ","$12,795.89 "
542,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE
ATLANTA, GA 30322
(33.79233912300003, -84.32099324899997)",Yes,Y,Yes,Y,Y,Yes,Y,Y,253 - OTHER VASCULAR PROCEDURES W CC,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,46,"$56,822.91 ","$18,698.30 ","$17,257.15 "
546,110011,TANNER MEDICAL CENTER - CARROLLTON,"705 DIXIE STREET
CARROLLTON, GA 30117
(33.56967218500006, -85.07254371299996)",Yes,N,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,GA - Atlanta,20,"$79,957.85 ","$20,942.95 ","$17,524.40 "
547,110011,TANNER MEDICAL CENTER - CARROLLTON,"705 DIXIE STREET
CARROLLTON, GA 30117
(33.56967218500006, -85.07254371299996)",Yes,N,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,GA - Atlanta,11,"$65,000.72 ","$23,202.90 ","$22,688.36 "
553,110011,TANNER MEDICAL CENTER - CARROLLTON,"705 DIXIE STREET
CARROLLTON, GA 30117
(33.56967218500006, -85.07254371299996)",Yes,N,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,GA - Atlanta,21,"$44,440.52 ","$15,071.09 ","$14,079.95 "
557,110011,TANNER MEDICAL CENTER - CARROLLTON,"705 DIXIE STREET
CARROLLTON, GA 30117
(33.56967218500006, -85.07254371299996)",Yes,N,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,GA - Atlanta,27,"$51,345.81 ","$17,268.77 ","$8,897.11 "
567,110011,TANNER MEDICAL CENTER - CARROLLTON,"705 DIXIE STREET
CARROLLTON, GA 30117
(33.56967218500006, -85.07254371299996)",Yes,N,Yes,Y,Does not have a Cardiac Surgery Program,Yes,N,NA,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,GA - Atlanta,19,"$44,366.26 ","$13,626.84 ","$8,855.68 "
